date	count
2021-06-11 13:12:23.366701	2365780
2021-06-11 13:55:04.356169	2365900
2021-06-11 14:52:55.684861	2365962
2021-06-11 16:01:16.451678	2366026
2021-06-11 17:19:50.716818	2366128
2021-06-11 18:01:57.760847	2366171
2021-06-11 19:01:22.870037	2366220
2021-06-11 19:52:42.665916	2366306
2021-06-11 20:52:58.328385	2366369
2021-06-11 21:52:43.292889	2366450
2021-06-11 22:52:47.074610	2366543
2021-06-11 23:52:44.079237	2366676
2021-06-12 01:42:47.877924	2366760
2021-06-12 02:20:58.774878	2366793
2021-06-12 03:00:58.716064	2366848
2021-06-12 03:58:05.410425	2366892
2021-06-12 05:03:14.147671	2366933
2021-06-12 05:52:45.831140	2366965
2021-06-12 07:02:32.522980	2367000
2021-06-12 07:52:50.337046	2367032
2021-06-12 08:52:55.498748	2367059
2021-06-12 09:53:50.954121	2367088
2021-06-12 10:54:10.498040	2367145
2021-06-12 11:52:42.687275	2367208
2021-06-12 13:10:54.677284	2367266
2021-06-12 13:53:51.083948	2367323
2021-06-12 14:52:42.938973	2367425
2021-06-12 16:00:58.054160	2367515
2021-06-12 17:16:07.959230	2367587
2021-06-12 17:59:07.559645	2367624
2021-06-12 19:02:33.671113	2367691
2021-06-12 19:52:45.136992	2367764
2021-06-12 20:52:47.039637	2367812
2021-06-12 21:52:43.326330	2367914
2021-06-12 22:52:45.240991	2368019
2021-06-12 23:52:47.123822	2368075
2021-06-13 01:50:21.729661	2368152
2021-06-13 03:02:19.865688	2368197
2021-06-13 03:58:52.426566	2368249
2021-06-13 05:03:23.456462	2368260
2021-06-13 05:52:39.197002	2368284
2021-06-13 07:02:50.922718	2368322
2021-06-13 07:52:44.918771	2368357
2021-06-13 08:53:03.203840	2368385
2021-06-13 09:54:15.843219	2368409
2021-06-13 10:53:51.521061	2368429
2021-06-13 11:52:59.548000	2368477
2021-06-13 13:12:41.844445	2368535
2021-06-13 13:54:10.037652	2368553
2021-06-13 14:52:43.873905	2368580
2021-06-13 16:01:18.201031	2368619
2021-06-13 17:16:10.384310	2368693
2021-06-13 17:58:55.768022	2368732
2021-06-13 19:02:34.659103	2368778
2021-06-13 19:52:42.894967	2368839
2021-06-13 20:52:45.834646	2368927
2021-06-13 21:52:41.603878	2369027
2021-06-13 22:52:51.426926	2369065
2021-06-13 23:52:51.867947	2369092
2021-06-14 01:49:01.587100	2369167
2021-06-14 02:27:45.899101	2369175
2021-06-14 03:03:00.725450	2369199
2021-06-14 03:59:32.675440	2369217
2021-06-14 05:04:28.075565	2369256
2021-06-14 05:52:43.688413	2369262
2021-06-14 07:04:54.982013	2369300
2021-06-14 07:52:47.897119	2369311
2021-06-14 08:53:27.681804	2369323
2021-06-14 09:55:13.615316	2369353
2021-06-14 10:54:40.558537	2369409
2021-06-14 11:52:42.835531	2369484
2021-06-14 13:13:35.175315	2369537
2021-06-14 13:54:57.509820	2369558
2021-06-14 14:52:55.545575	2369573
2021-06-14 16:01:36.028200	2369629
2021-06-14 17:17:59.648322	2369670
2021-06-14 17:59:48.101514	2369704
2021-06-14 19:01:25.951800	2369736
2021-06-14 19:52:53.980132	2369760
2021-06-14 20:52:48.550930	2369790
2021-06-14 21:53:26.409759	2369834
2021-06-14 22:52:44.892101	2369876
2021-06-14 23:52:51.444978	2369992
2021-06-15 01:55:21.019040	2370080
2021-06-15 03:05:49.313672	2370116
2021-06-15 03:59:54.305035	2370142
2021-06-15 05:04:18.930502	2370190
2021-06-15 05:52:48.112773	2370223
2021-06-15 07:03:57.067760	2370239
2021-06-15 07:52:47.209541	2370247
2021-06-15 08:53:38.259760	2370285
2021-06-15 09:54:57.817130	2370298
2021-06-15 10:54:13.829809	2370328
2021-06-15 11:52:52.993116	2370363
2021-06-15 13:13:36.824946	2370449
2021-06-15 13:54:46.547455	2370488
2021-06-15 14:52:46.432259	2370541
2021-06-15 16:01:39.576042	2370618
2021-06-15 17:21:26.007559	2370696
2021-06-15 18:03:00.896697	2370753
2021-06-15 19:03:07.989736	2370807
2021-06-15 19:52:43.216636	2370862
2021-06-15 20:52:44.029190	2370905
2021-06-15 21:53:15.295571	2370979
2021-06-15 22:52:50.947179	2371032
2021-06-15 23:52:43.868112	2371082
2021-06-16 01:49:32.030374	2371152
2021-06-16 02:27:49.957637	2371169
2021-06-16 03:02:43.178547	2371201
2021-06-16 03:59:32.169805	2371230
2021-06-16 05:04:02.854517	2371259
2021-06-16 05:52:52.375580	2371271
2021-06-16 07:04:26.245677	2371295
2021-06-16 07:52:46.605065	2371309
2021-06-16 08:53:09.669050	2371323
2021-06-16 09:55:11.923923	2371348
2021-06-16 10:54:23.015516	2371386
2021-06-16 11:52:54.822809	2371408
2021-06-16 13:15:05.867185	2371491
2021-06-16 13:55:06.937942	2371515
2021-06-16 14:52:48.548223	2371564
2021-06-16 16:01:35.011502	2371626
2021-06-16 17:20:10.323925	2371696
2021-06-16 18:01:13.703786	2371786
2021-06-16 19:03:24.317881	2371889
2021-06-16 19:52:56.809442	2371971
2021-06-16 20:52:44.967368	2372051
2021-06-16 21:52:43.529381	2372099
2021-06-16 22:52:43.129285	2372143
2021-06-16 23:52:45.638037	2372186
2021-06-17 01:47:54.027924	2372245
2021-06-17 02:23:21.410380	2372259
2021-06-17 03:01:07.424571	2372274
2021-06-17 03:58:54.012754	2372298
2021-06-17 05:03:49.509877	2372316
2021-06-17 05:52:46.846482	2372336
2021-06-17 07:05:46.044599	2372364
2021-06-17 07:52:55.695247	2372389
2021-06-17 08:53:26.836340	2372423
2021-06-17 09:55:26.811464	2372475
2021-06-17 10:54:28.469221	2372551
2021-06-17 11:52:53.957180	2372678
2021-06-17 13:14:08.854500	2372808
2021-06-17 13:54:40.421522	2372838
2021-06-17 14:52:42.620455	2372885
2021-06-17 16:06:56.990160	2373027
2021-06-17 17:20:18.285811	2373090
2021-06-17 18:01:14.331358	2373160
2021-06-17 19:03:17.529506	2373257
2021-06-17 19:52:57.406635	2373325
2021-06-17 20:52:44.857915	2373438
2021-06-17 21:53:01.892214	2373499
2021-06-17 22:52:43.711852	2373539
2021-06-17 23:52:41.811995	2373580
2021-06-18 01:54:57.229555	2373713
2021-06-18 03:02:59.796455	2373801
2021-06-18 03:58:56.392403	2373845
2021-06-18 05:03:35.769216	2373886
2021-06-18 05:52:48.936239	2373915
2021-06-18 07:04:12.223566	2373946
2021-06-18 07:52:43.730881	2373978
2021-06-18 08:53:16.023973	2373996
2021-06-18 09:54:44.649890	2374036
2021-06-18 10:54:13.915836	2374070
2021-06-18 11:52:48.048165	2374170
2021-06-18 13:14:24.861448	2374233
2021-06-18 13:54:41.883523	2374267
2021-06-18 14:53:05.442068	2374317
2021-06-18 16:01:25.347512	2374376
2021-06-18 17:18:54.799364	2374423
2021-06-18 17:59:38.156367	2374501
2021-06-18 19:01:08.304449	2374555
2021-06-18 19:52:52.217183	2374606
2021-06-18 20:52:59.012234	2374660
2021-06-18 21:52:54.059976	2374750
2021-06-18 22:52:41.943848	2374791
2021-06-18 23:52:49.479052	2374829
2021-06-19 01:52:56.386184	2374898
2021-06-19 03:01:32.087429	2374977
2021-06-19 03:57:46.255887	2375055
2021-06-19 05:03:48.640356	2375096
2021-06-19 05:52:40.578610	2375109
2021-06-19 07:03:21.919891	2375127
2021-06-19 07:52:45.848972	2375146
2021-06-19 08:52:46.833021	2375171
2021-06-19 09:55:23.235070	2375207
2021-06-19 10:53:16.585416	2375236
2021-06-19 11:52:41.769753	2375266
2021-06-19 13:12:01.965320	2375331
2021-06-19 13:52:42.474234	2375373
2021-06-19 14:52:42.668327	2375471
2021-06-19 16:00:25.201751	2375545
2021-06-19 17:14:50.679697	2375619
2021-06-19 17:57:07.892444	2375656
2021-06-19 18:59:33.724158	2375707
2021-06-19 19:52:41.207628	2375745
2021-06-19 20:53:00.371998	2375830
2021-06-19 21:52:46.930611	2375871
2021-06-19 22:52:50.425183	2375924
2021-06-19 23:52:52.319702	2375971
2021-06-20 01:56:07.283945	2376124
2021-06-20 03:02:28.492432	2376175
2021-06-20 03:57:12.851759	2376237
2021-06-20 05:02:50.287654	2376288
2021-06-20 05:52:43.966953	2376308
2021-06-20 07:03:21.776737	2376331
2021-06-20 07:52:41.399099	2376347
2021-06-20 08:52:40.058432	2376386
2021-06-20 09:54:02.309486	2376409
2021-06-20 10:53:09.114548	2376481
2021-06-20 11:52:46.533524	2376556
2021-06-20 13:12:21.754370	2376588
2021-06-20 13:52:40.400571	2376616
2021-06-20 14:53:00.587319	2376660
2021-06-20 16:00:20.507998	2376694
2021-06-20 17:14:52.714100	2376816
2021-06-20 17:57:02.922028	2376852
2021-06-20 18:59:37.457775	2376948
2021-06-20 19:52:53.860056	2377003
2021-06-20 20:52:50.870094	2377068
2021-06-20 21:52:48.121076	2377123
2021-06-20 22:52:41.139071	2377161
2021-06-20 23:52:44.173698	2377188
2021-06-21 01:56:01.200016	2377240
2021-06-21 03:01:53.078049	2377260
2021-06-21 03:57:04.709402	2377287
2021-06-21 05:02:28.688518	2377309
2021-06-21 05:52:46.945898	2377323
2021-06-21 07:05:29.050217	2377337
2021-06-21 08:10:29.831008	2377348
2021-06-21 08:56:49.740515	2377365
2021-06-21 09:54:36.975126	2377384
2021-06-21 10:53:55.335301	2377396
2021-06-21 11:52:47.439828	2377425
2021-06-21 13:13:54.477775	2377459
2021-06-21 13:52:59.031550	2377465
2021-06-21 14:52:51.673165	2377513
2021-06-21 16:01:00.362146	2377574
2021-06-21 17:16:36.371287	2377627
2021-06-21 17:57:40.991488	2377664
2021-06-21 19:00:45.030445	2377706
2021-06-21 19:52:44.118261	2377743
2021-06-21 20:52:44.746990	2377775
2021-06-21 21:52:49.616841	2377850
2021-06-21 22:53:08.171177	2377894
2021-06-21 23:52:50.053249	2377930
2021-06-22 01:44:51.949136	2378012
2021-06-22 02:21:27.424544	2378048
2021-06-22 02:58:54.298426	2378068
2021-06-22 03:55:23.639979	2378091
2021-06-22 05:02:59.156188	2378117
2021-06-22 05:53:00.929441	2378145
2021-06-22 07:03:31.794862	2378159
2021-06-22 07:52:41.228002	2378201
2021-06-22 08:52:45.042887	2378224
2021-06-22 09:54:30.564122	2378246
2021-06-22 10:53:36.426164	2378285
2021-06-22 11:52:43.457024	2378331
2021-06-22 13:13:38.805120	2378348
2021-06-22 13:52:44.308593	2378375
2021-06-22 14:52:43.178538	2378453
2021-06-22 16:01:14.931171	2378511
2021-06-22 17:16:39.350407	2378582
2021-06-22 17:58:12.074740	2378616
2021-06-22 19:00:23.859258	2378709
2021-06-22 19:52:45.348569	2378782
2021-06-22 20:53:02.507932	2378839
2021-06-22 21:52:44.448734	2378880
2021-06-22 22:52:56.521203	2378966
